contentId,locale,productFamily,productVersion,redirectPatternId,redirectUrl
ms400806,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#imx
ms400806,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#imx
ms400696,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#m
ms400696,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#m
ms400696,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#m
ms400696,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#m
ms400696,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#m
ff470382,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsservicecontrol-cmd
ff470382,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsservicecontrol-cmd
ff470382,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsservicecontrol-cmd
ms181482,all,VS,140,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsdeleteproject-cmd
ms181482,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsdeleteproject-cmd
ms181482,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsdeleteproject-cmd
ms181482,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsdeleteproject-cmd
